(255, 255, 255)
(251, 249, 245)
(253, 250, 249)
(250, 248, 242)
(255, 253, 247)
(253, 251, 245)
(255, 255, 254)
(217, 215, 209)
(251, 249, 243)
(248, 246, 242)
(252, 249, 248)
(252, 250, 244)
(255, 255, 248)
(220, 218, 212)
(244, 241, 240)
(233, 230, 229)
(244, 241, 242)
(252, 250, 246)
(247, 245, 241)
(238, 236, 232)
(230, 228, 224)
(247, 246, 237)
(226, 224, 218)
(252, 249, 250)
(252, 252, 250)
(255, 255, 253)
(239, 236, 237)
(254, 251, 252)
(255, 252, 253)
(248, 248, 246)
(241, 240, 231)
(255, 255, 250)
(244, 244, 242)
(242, 242, 240)
(251, 251, 249)
(250, 250, 248)
(243, 240, 241)
(232, 232, 230)
(245, 242, 243)
(249, 249, 247)
(230, 228, 222)
(244, 242, 236)
(255, 255, 251)
(254, 252, 246)
(254, 252, 248)
(247, 244, 245)
(248, 244, 247)
(229, 225, 228)
(254, 250, 253)
(255, 253, 255)
(255, 254, 255)
(251, 248, 247)
(255, 252, 251)
(254, 251, 250)
(250, 247, 246)
(229, 226, 225)
(239, 237, 231)
(252, 248, 251)
(195, 192, 193)
(227, 225, 219)
(255, 255, 252)
(250, 247, 248)
(250, 246, 249)
(251, 247, 250)
(255, 251, 254)
(246, 243, 242)
(255, 254, 253)
(255, 255, 249)
(240, 238, 232)
(253, 250, 251)
(248, 250, 240)
(243, 241, 237)
(250, 248, 244)
(251, 248, 249)
(248, 245, 244)
(241, 239, 233)
(238, 236, 230)
(253, 251, 247)
(255, 253, 249)
(248, 247, 238)
(244, 242, 238)
(246, 244, 240)
(247, 245, 239)
(253, 249, 252)
(245, 243, 239)
(222, 219, 220)
(236, 234, 230)
(246, 244, 238)
(247, 244, 243)
(232, 229, 230)
(224, 222, 216)
(248, 246, 240)
(247, 243, 246)
(231, 229, 225)
(243, 241, 235)
(234, 231, 230)
(238, 235, 236)
(237, 235, 229)
(248, 245, 246)
(236, 234, 228)
(241, 239, 235)
(237, 234, 235)
(241, 238, 239)
(240, 237, 236)
(239, 237, 233)
(234, 232, 226)
(210, 208, 204)
(236, 233, 232)
(234, 232, 228)
(229, 227, 223)
(237, 235, 231)
(243, 240, 239)
(245, 242, 241)
(233, 231, 227)
(236, 233, 234)
(216, 213, 214)
(224, 221, 220)
(224, 221, 222)
(246, 243, 244)
(243, 245, 234)
(245, 251, 255)
(247, 253, 255)
(246,252,255)
(215,221,225)
(247,255,255)
(208,209,214)
(218,222,226)
(205,211,213)
(245,254,255)
(255,252,255)
(245,255,253)
