(197, 156, 142)
(251, 139, 122)
(255, 153, 136)
(253, 156, 150)
(157, 125, 113)
(160, 128, 116)
(185, 129, 114)
(184, 131, 112)
(185, 132, 113)
(183, 135, 115)
(184, 136, 116)
(190, 134, 121)
(191, 135, 122)
(194, 134, 124)
(189, 134, 126)
(199, 158, 144)
(189, 128, 113)
(227, 130, 124)
(255, 159, 153)
(190, 148, 137)
(193, 151, 140)
(255, 151, 134)
(255, 152, 135)
(255, 152, 130)
(255, 150, 128)
(255, 149, 127)
(255, 148, 126)
(255, 145, 131)
(255, 145, 133)
(246, 144, 138)
(254, 152, 139)
(255, 142, 114)
(255, 154, 126)
(236, 153, 134)
(237, 154, 135)
(236, 150, 134)
(234, 148, 132)
(247, 161, 154)
(233, 147, 140)
(191, 149, 138)
(196, 154, 143)
(255, 154, 137)
(255, 155, 138)
(255, 153, 131)
(252, 147, 125)
(255, 147, 125)
(255, 144, 130)
(255, 143, 129)
(254, 143, 131)
(244, 142, 136)
(251, 149, 136)
(255, 155, 127)
(206, 144, 134)
(205, 143, 133)
(227, 144, 125)
(231, 148, 129)
(238, 152, 136)
(233, 147, 131)
(222, 136, 129)
(213, 127, 120)
(229, 146, 140)
(206, 150, 123)
(251, 165, 141)
(243, 157, 133)
(246, 141, 127)
(220, 151, 135)
(255, 147, 118)
(255, 151, 122)
(206, 155, 136)
(200, 153, 128)
(179, 132, 107)
(212, 141, 134)
(251, 149, 145)
(244, 142, 138)
(202, 146, 119)
(236, 150, 126)
(228, 142, 118)
(231, 126, 112)
(219, 150, 134)
(255, 156, 127)
(251, 142, 113)
(208, 157, 138)
(198, 151, 126)
(177, 130, 105)
(239, 137, 133)
(232, 130, 126)
(210, 145, 138)
(184, 143, 120)
(239, 146, 122)
(233, 140, 116)
(230, 127, 105)
(214, 149, 133)
(255, 160, 137)
(253, 142, 119)
(216, 134, 121)
(245, 129, 129)
(221, 129, 113)
(235, 144, 125)
(226, 135, 116)
(211, 132, 106)
(228, 149, 123)
(199, 144, 113)
(191, 130, 117)
(197, 136, 123)
(202, 141, 128)
(232, 130, 117)
(255, 144, 138)
(255, 133, 127)
(164, 123, 100)
(235, 142, 118)
(234, 141, 117)
(231, 128, 106)
(213, 148, 132)
(255, 157, 134)
(211, 139, 107)
(222, 140, 127)
(251, 135, 135)
(172, 163, 142)
(241, 149, 133)
(241, 150, 131)
(232, 141, 122)
(255, 169, 150)
(255, 164, 148)
(209, 130, 104)
(225, 146, 120)
(200, 145, 114)
(198, 149, 144)
(212, 140, 108)
(221, 141, 101)
(222, 142, 102)
(182, 159, 146)
(226, 152, 144)
(235, 153, 142)
(241, 159, 148)
(251, 156, 141)
(241, 146, 131)
(214, 139, 136)
(255, 136, 135)
(255, 137, 136)
(246, 141, 140)
(255, 150, 149)
(250, 145, 144)
(255, 133, 135)
(255, 129, 131)
(255, 142, 142)
(238, 134, 117)
(252, 148, 131)
(255, 161, 149)
(239, 137, 124)
(229, 140, 119)
